,Country,Nationality,Address,Phone,Fax,Email,Website,Office Type,City,Office Hours,Details
"Swedish Consulate in Colombo, Sri Lanka, India",Sweden,Swedish,"33, 1/1, Lester James, Peiris , Mawatha, Colombo 5, Sri Lanka",+94 11 250 4432,+94 11 258 0022,sweden@senoksl.com,,Consulate,"Colombo, Sri Lanka","Monday-Friday
 10.00-12.00","Honorary Consul General:
Mr Noel Selvanayagam"
"Swedish Consulate in Kathmandu,, India",Sweden,Swedish,"Meera Home, Khichapokhari, Nepal",+977 1 422 0939,+977 1 422 1826,meerahome@wlink.com.np,,Consulate,"Kathmandu,","Monday - Friday 
10.00-12.30","Honorary Consul General:
Mr Gajendra B. Shresta"
"Swedish Consulate in Kolkata, India",Sweden,Swedish,"14 Old Court House Street, Kolkata 700 001",+91 33 2248 2080,+91 33 2248 9447,swedecon.kol@gmail.com,,Consulate,Kolkata,"Tuesday and Thursday
 09.30-12.30","Honorary Consul:
Mr. Ranajit Nobis"
"Swedish Consulate in Malé, Maldiverna, India",Sweden,Swedish,"66/17 Boduthakurufaanu Magu, Malé 20066",+960 33 151 76,+960 33 235 23,info@cyprea.com.mv,,Consulate,"Malé, Maldiverna","Sunday-Thursday
 08.00-13.30 and 15.30-18.00

Saturday
 09.00-13.30","Honorary Consul:
Mr Abdullah Saeed"
"Swedish Consulate in Mumbai, India",Sweden,Swedish,"3 Floor, C – 53, TCG Financial  Centre, G – Block, BKC, Bandra (E) , Mumbai – 400051",+91 22 6113 2300,+91 22 6113 2389,sweden@swedenconsul.com,,Consulate,Mumbai,09:00-12:00,"Consul General:
Ms. Fredrika Ornbrant"
"Swedish Consulate in Thimpu, Bhutan, India",Sweden,Swedish,"4th Floor, Yarkay Complex, , Near Clock Tower, Norzin Lam, Thimphu",+975 20 323 484,+975 20 323 894,sweden@druknet.bt  / phubzam8@gmail.com,,Consulate,"Thimpu, Bhutan","Monday - Friday
 09.00-17.00","Honarary Consul:
Mrs Phub Zam"
"Swedish Embassy in New Delhi, India",Sweden,Swedish,"4-5 Nyaya Marg, Chanakyapuri, New Delhi , India",+91 11 4419 7100,+91 11 4419 7101,ambassaden.new-delhi@gov.se,,Embassy,New Delhi,"Monday-Friday 
08.30-17.00",
"Swiss Embassy in New Delhi, India",Switzerland,Swiss,"Nyaya Marg, Chanakyapuri, P.O. Box 392, New Delhi 110 001 India",(+91) (11) 4995 9500,(+91) (11) 4995 9509,ndh.vertretung@eda.admin.ch,http://www.eda.admin.ch/newdelhi,Embassy,New Delhi,"Monday-Friday
 08:30-11:30",Ambassador: Mr Linus von Castelmur
"Syrian Embassy in New Delhi, India",Syria,Syrian,"India D 5/8, Vasant Marg Vasant Vihar New Delhi , 110057 India",(+91) 11 2614 0233 / 8298,(+91-11) 6143107,-,,Embassy,New Delhi,08.30-15.00,Ambassador: Mr. Fahd Salim
"Taiwanese Embassy in New Delhi, India",Taiwan,Taiwanese,"No. 34, Paschimi Marg, Vasant Vihar, New Delhi 110057,  India",(+91-11)46077777,(+91-11)4607-7721,ind@mofa.gov.tw,http://www.roc-taiwan.org/IN,Embassy,New Delhi,,
"Tanzanian Embassy in New Delhi, India",Tanzania,Tanzanian,"EP-15C, Chanakya Puri , New Delhi, 110021, India",+91-11-24122865,+91-11-24122862,"info@tanzrepdelhi.com, newdelhi@foreign.go.tz",http://www.tanzrepdelhi.com/,Embassy,New Delhi,"Monday - Friday
9:00 to 16:00",
"Thai Consulate in Kolkata, India",Thailand,Thai,"18-B, Mandeville Gardens, Ballygunge, Kolkata 019 700",(91-33) 2440-3229-31 / 7836,"(91-33) 2440 to 6,251",thaiccu@mfa.go.th,http://www.thaiembassy.org/kolkata,Consulate,Kolkata,"Office Hour: 
Monday to Friday
09:00 - 12:00 and 13:00 - 17:00",
"Thai Embassy in New Delhi, India",Thailand,Thai,"D-1/3 Vasant Vihar, New Delhi 110057",(+91 11) 2615 0130-34,(+91 11) 2615 0128-29,haidel@mfa.go.th,http://www.thaiemb.org.in,Embassy,New Delhi,"Office Hours:
Monday to Friday
09:00 – 12:30 and 14:00 – 17:00",
"Togolese Embassy in New Delhi, India",Togo,Togolese,"4 Munirka Marg, 1st Floor, Vasant Vihar, New Delhi 11 00 57, India",(+91) 11 4103 7036,(+91) 11-4108 5550,ambatogodelhi@yahoo.fr,,Embassy,New Delhi,,
"Trinidadian High Commission in New Delhi, India",Trinidad and Tobago,Trinidadian,"B3/26, Vasant Vihar, New Delhi 110057, India",(+91) 11 4600 7500,(+91) 11 4600 7505,"info@hctt.net, consular@hctt.net",hctt.net,Embassy,New Delhi,,"Mrs Stacey Hinds, Chargé d'Affaires a.i."
"Tunisian Embassy in New Delhi, India",Tunisia,Tunisian,"B-1/2, Vasant Marg, Vasant Vihar, New Delhi 110057 India",(+91) 11-2614 5346 / 49 / 51,(+91) 11-2614 5301,tunisiaembassy@airtelbroadband.in,,Embassy,New Delhi,,
"Turkish Embassy in New Delhi, India",Turkey,Turkish,N 50 Nyaya Marg Chanakyapuri 110021,(+91) 11-2688 9053 / 4 (+91) 11-2410 1973 / 21,(+91) 11-2410 1974 (+91) 11-2688 1409,embassy.newdelhi@mfa.gov.tr,http://http://newdelhi.emb.mfa.gov.tr,Embassy,New Delhi,,
"Ugandan Embassy in New Delhi, India",Uganda,Ugandan,"B-3/26,Vasant Vihar, New Delhi 110057 India",(+91) 11-2614 5817 / 4413,(+91) 11-2614 4405,newdelhiugandahighcommission@yahoo.in,,Embassy,New Delhi,,
"Ukrainian Embassy in New Delhi, India",Ukraine,Ukrainian,"E-1/8, Vasant Vihar, New Delhi, India, 110 057","00-9111 2614 6041, 2614 5093 (consular issues)",00-9111 2614 6043,emb_in@mfa.gov.ua,http://http://india.mfa.gov.ua,Embassy,New Delhi,,
"Zambian Consulate in New Delhi, India",Zambia,Zambian,"N-57, Panchsheel Park, New Delhi, India",(+91) 11-4108 8010 / 11,(+91) 11-2614 5764,zambiand@sify.com,,Consulate,New Delhi,,
"Zimbabwean Embassy in New Delhi, India",Zimbabwe,Zimbabwean,"23 Paschimi Marg Vasant Vihar, New Delhi 110057, India",91-11-26154313/4/ 6140430/ 26154314,91-11-6884532,envoy@zihcindia.com,,Embassy,New Delhi,,
